section,emoji_handle,emoji_image,emoji_link
People,thought_balloon,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/thought_balloon.png
People,feelsgood,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/feelsgood.png
People,finnadie,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/finnadie.png
People,goberserk,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/goberserk.png
People,godmode,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/godmode.png
People,hurtrealbad,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/hurtrealbad.png
People,rage1,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/rage1.png
People,rage2,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/rage2.png
People,rage3,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/rage3.png
People,rage4,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/rage4.png
People,suspect,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/suspect.png
People,trollface,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/trollface.png
Nature,sunny,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sunny.png
Nature,umbrella,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/umbrella.png
Nature,cloud,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/cloud.png
Nature,snowflake,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/snowflake.png
Nature,snowman,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/snowman.png
Nature,zap,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/zap.png
Nature,cyclone,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/cyclone.png
Nature,foggy,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/foggy.png
Nature,ocean,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/ocean.png
Nature,cat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/cat.png
Nature,dog,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/dog.png
Nature,mouse,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/mouse.png
Nature,hamster,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/hamster.png
Nature,rabbit,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/rabbit.png
Nature,wolf,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/wolf.png
Nature,frog,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/frog.png
Nature,tiger,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/tiger.png
Nature,koala,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/koala.png
Nature,bear,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/bear.png
Nature,pig,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/pig.png
Nature,pig_nose,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/pig_nose.png
Nature,cow,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/cow.png
Nature,boar,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/boar.png
Nature,monkey_face,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/monkey_face.png
Nature,monkey,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/monkey.png
Nature,horse,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/horse.png
Nature,racehorse,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/racehorse.png
Nature,camel,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/camel.png
Nature,sheep,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sheep.png
Nature,elephant,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/elephant.png
Nature,panda_face,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/panda_face.png
Nature,snake,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/snake.png
Nature,bird,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/bird.png
Nature,baby_chick,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/baby_chick.png
Nature,hatched_chick,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/hatched_chick.png
Nature,hatching_chick,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/hatching_chick.png
Nature,chicken,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/chicken.png
Nature,penguin,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/penguin.png
Nature,turtle,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/turtle.png
Nature,bug,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/bug.png
Nature,honeybee,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/honeybee.png
Nature,ant,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/ant.png
Nature,beetle,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/beetle.png
Nature,snail,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/snail.png
Nature,octopus,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/octopus.png
Nature,tropical_fish,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/tropical_fish.png
Nature,fish,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/fish.png
Nature,whale,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/whale.png
Nature,whale2,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/whale2.png
Nature,dolphin,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/dolphin.png
Nature,cow2,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/cow2.png
Nature,ram,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/ram.png
Nature,rat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/rat.png
Nature,water_buffalo,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/water_buffalo.png
Nature,tiger2,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/tiger2.png
Nature,rabbit2,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/rabbit2.png
Nature,dragon,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/dragon.png
Nature,goat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/goat.png
Nature,rooster,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/rooster.png
Nature,dog2,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/dog2.png
Nature,pig2,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/pig2.png
Nature,mouse2,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/mouse2.png
Nature,ox,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/ox.png
Nature,dragon_face,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/dragon_face.png
Nature,blowfish,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/blowfish.png
Nature,crocodile,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/crocodile.png
Nature,dromedary_camel,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/dromedary_camel.png
Nature,leopard,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/leopard.png
Nature,cat2,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/cat2.png
Nature,poodle,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/poodle.png
Nature,paw_prints,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/paw_prints.png
Nature,bouquet,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/bouquet.png
Nature,cherry_blossom,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/cherry_blossom.png
Nature,tulip,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/tulip.png
Nature,four_leaf_clover,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/four_leaf_clover.png
Nature,rose,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/rose.png
Nature,sunflower,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sunflower.png
Nature,hibiscus,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/hibiscus.png
